m_N,y,sin2_2theta,omega_h2_scan,omega_h2,converged,retcode,lambda_fs_Mpc,lambda_fs_eq_Mpc,lambda_fs_free_Mpc,v_end,x_kd,lambda_fs_kd_Mpc,r_s_Mpc,x_kd3,lambda_fs_kd3_Mpc,r_s3_Mpc,x_kd_old,lambda_fs_kd_old_Mpc,r_s_old_Mpc
7.788000000000001e-7,5.623e-5,2.2434699724408356e-13,0.11992699746701492,0.11992699746701492,true,Success,2.572609536869606,1.295953354914954,1.2766561819546522,0.033582181453799965,10.534480519987655,2.0044315078855384,0.2360020309625087,5.347485189560271,2.1445467323331027,0.08523770774595714,384.41551912698895,0.854146507755599,1.170061345643243
7.788000000000001e-7,0.0001,7.63073563890983e-14,0.11995031864134696,0.11995031864134696,true,Success,2.589383583574166,1.302724191227115,1.286659392347051,0.03384490091961112,35.20874048875026,1.6365195603041771,0.5496282016227105,20.094668223612906,1.8168134913028853,0.40053803899153934,1118.0061712706306,0.5640603091157436,1.4143825380775867
7.788000000000001e-7,0.0001778,2.5669901611000405e-14,0.1198764836445501,0.1198764836445501,true,Success,2.5954048283313105,1.3046203772683496,1.2907844510629607,0.03395323665353659,110.42767340916541,1.2588062438629986,0.8556730938282882,64.26110294768169,1.441735826810511,0.7119526330159217,3061.9942699385206,0.34274743881852776,1.596301968357656
7.788000000000001e-7,0.0003162,8.421088528358406e-15,0.11938366188720918,0.11938366188720918,true,Success,2.579219207158761,1.2956455375931528,1.2835736695656086,0.03376386000793971,335.42417456817105,0.8998732458829453,1.1348598220121595,197.78355325405278,1.063986410841896,1.0021767917939657,7991.222642313695,0.18948221799084444,1.709480488900247
7.788000000000001e-7,0.0005623,2.649016072609929e-15,0.11971973983494084,0.11971973983494084,true,Success,2.561495167773904,1.2842451922117677,1.2772499755621365,0.03359777682505915,977.812367757393,0.5939110676808094,1.3737862574022228,590.6456355410513,0.7299606794286052,1.263738432319146,20432.224785878163,0.08979401025372581,1.7815739437766993
7.788000000000001e-7,0.001,7.589452207325101e-16,0.12044990208162451,0.12044990208162451,true,Success,2.73310161551855,1.3483469554123946,1.3847546601061553,0.036420704639712094,2796.4304640973146,0.38635983525679807,1.6860781399319416,1737.7002083357563,0.4937771943137101,1.5991845919877106,53559.07101332736,0.026770315335600547,1.9769636903467274
7.788000000000001e-7,0.001778,1.6720012296764536e-16,0.11534787983794899,0.11534787983794899,true,Success,3.1863197956536644,1.5162041099397048,1.6701156857139594,0.04390784129502008,7795.441050677431,0.25066880869423724,2.1732633264655923,4941.070711276182,0.33594979118700713,2.104273517937696,142870.34199700324,0.0,2.393630479860189
7.788000000000001e-7,0.003162,3.6922692526836376e-17,0.1270690767891904,0.12705997124555343,false,Success,3.9668399575192055,1.7933464550515685,2.173493502467637,0.057089360125268274,23075.997046113385,0.1357495468202213,2.9079997502009793,14778.708345303092,0.20276904866876458,2.853781581637312,Inf,0.0,3.0709428971229404
7.788000000000001e-7,0.005623,1.0093503211240777e-17,0.12018676780213845,0.12017781086261434,false,Success,4.6952205957473545,2.034026063767116,2.661194531980239,0.06982146173099063,61863.21888414895,0.03601548847145986,3.565458674413939,39770.63897652617,0.0867471134229828,3.524416765018269,Inf,0.0,3.6596027265376763
7.788000000000001e-7,0.01,2.9952991172755033e-18,0.12026239791092933,0.1200682368841508,false,Success,5.667645889245641,2.333182237107673,3.334463652137968,0.08731971182903017,170276.8770811497,0.0,4.398305120570449,109628.10450835162,0.0,4.367182420287246,Inf,0.0,4.4330468404732075
