x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
0.01390881272373116,0.9649620590575733,2.304427426834728e-23,1.753650340013714e-6,1.7579811634344523e-7,4.583432410184669e-9,-0.5183037131084978,-1.0366074262169955,6.02824173113309e-8,6.02824173113309e-8,2.761220227550371e-8,2.0298923855364082e-33,6.654639458231951e-39,2.02988573089695e-33
0.013912654652309887,1.0311578028581234,2.3031548084613037e-23,1.7521981442026977e-6,1.8704863648316588e-7,4.58364190037522e-9,-0.2822007604636787,-0.5644015209273574,6.057707353062832e-8,6.057707353062832e-8,3.294769006845355e-8,1.2785201337186047e-33,6.94966393269221e-39,1.278513184054672e-33
0.01391756257171832,1.0796180197150314,2.301530619230391e-23,1.7503453502205457e-6,1.94989178674601e-7,4.583939047094875e-9,-0.12054232195382286,-0.24108464390764572,6.056562033626795e-8,6.056562033626795e-8,3.692990007356434e-8,6.0065741893936865e-34,7.12519973283829e-39,6.006502937396358e-34
0.013922472222476629,1.1020319674806656,2.299907575380918e-23,1.7484945154036495e-6,1.9854047841233505e-7,4.584253785070042e-9,-0.04907606296522515,-0.0981521259304503,6.05064830409798e-8,6.05064830409798e-8,3.8763973164153996e-8,2.5446678043546934e-34,7.192768225347537e-39,2.5445958766724397e-34
0.01392776307980999,1.112130816105031,2.2981604325755777e-23,1.7465028939194324e-6,2.0007625054016567e-7,4.5846014411701395e-9,-0.01805380572602333,-0.03610761145204666,6.047259371624043e-8,6.047259371624043e-8,3.9565576648360816e-8,9.507405996206753e-35,7.217056676861817e-39,9.506684290539067e-35
0.01393388774286979,1.1165430649384132,2.2961404360837248e-23,1.744201181095519e-6,2.006858531315932e-7,4.585008073393921e-9,-0.005403281628002521,-0.010806563256005042,6.04597979274931e-8,6.04597979274931e-8,3.988313778946346e-8,2.8579871338700385e-35,7.222100437018327e-39,2.8572649238263365e-35
0.013941248815952424,1.118432660907629,2.2937161768351148e-23,1.7414401611306936e-6,2.0087448132069552e-7,4.5854987086178434e-9,-0.0010023389668767368,-0.0020046779337534737,6.045881134341131e-8,6.045881134341131e-8,3.9978430478903767e-8,5.3010402800302305e-36,7.217742291466503e-39,5.293822537738764e-36
0.013950604074281468,1.1194469700584442,2.2906406987263994e-23,1.7379395576554806e-6,2.0089385271113127e-7,4.586123011453932e-9,0.00021720142103287543,0.00043440284206575086,6.046368553253402e-8,6.046368553253402e-8,3.9983240678278585e-8,-1.1352161655050358e-36,7.20804560892915e-39,-1.142424211113965e-36
0.013963344737744245,1.1203747531167425,2.2864622286384458e-23,1.733187258079788e-6,2.008483780050019e-7,4.586973430968483e-9,0.00045058032064893005,0.0009011606412978601,6.047234295597685e-8,6.047234295597685e-8,3.9951845882276406e-8,-2.3475294715058618e-36,7.193518029421776e-39,-2.3547229895352837e-36
0.01398262727638135,1.1216743420508548,2.2801599696841678e-23,1.7260277234018896e-6,2.0076317625106783e-7,4.588260446592487e-9,0.00047626187117444374,0.0009525237423488875,6.048589515192517e-8,6.048589515192517e-8,3.989569291547622e-8,-2.4571683543177556e-36,7.171298888038962e-39,-2.4643396532057946e-36
