x1,x2,x3,x4,x5,x6,x7
-6.61,-2.1888218555322427e-43,-2.188820996573742e-43,3.8684051834144155e-34,-3.758053152465832e-48,-3.758052174475563e-48,4.404476611983806e-39
-6.5040625,-2.1887384287036053e-43,-2.1887373578013843e-43,4.822914843540147e-34,-3.757958269627949e-48,-3.7579570499723396e-48,5.492840549026633e-39
-6.398125,-2.1886456727937484e-43,-2.188644398252544e-43,5.740023292514649e-34,-3.757852760703706e-48,-3.757851308656507e-48,6.53943922598294e-39
-6.2921875,-2.188542543781864e-43,-2.1885410738046152e-43,6.620188990353899e-34,-3.7577354327211156e-48,-3.757733757419621e-48,7.544887186125933e-39
-6.18625,-2.1884278806001194e-43,-2.188426222588656e-43,7.467019809318832e-34,-3.7576049580508355e-48,-3.757603067696284e-48,8.513400052512491e-39
-6.0803125,-2.188300391954575e-43,-2.188298551696174e-43,8.287787049025513e-34,-3.7574598590243893e-48,-3.7574577599498607e-48,9.453391264912997e-39
-5.974375,-2.1881586416461687e-43,-2.1881566223900192e-43,9.093921242298325e-34,-3.7572984907482417e-48,-3.7572961863580793e-48,1.0378050676494639e-38
-5.8684375,-2.1880010322163035e-43,-2.1879988336495896e-43,9.901464233336426e-34,-3.7571190218896335e-48,-3.757116511479891e-48,1.130588038079553e-38
-5.7625,-2.1878257867195942e-43,-2.18782340386062e-43,1.0731442788547198e-33,-3.7569194131787487e-48,-3.7569166906571306e-48,1.2261147344813238e-38
-5.6565625,-2.187630928401124e-43,-2.1876283504356523e-43,1.1610124336879094e-33,-3.756697393335295e-48,-3.756694445867523e-48,1.3274214758616465e-38
-5.550625,-2.187414258026506e-43,-2.1874114671255977e-43,1.2569100290804127e-33,-3.756450432084499e-48,-3.756447238709758e-48,1.4381681294853767e-38
-5.4446875,-2.187173328579428e-43,-2.18717029875069e-43,1.3645135576009803e-33,-3.756175709876724e-48,-3.7561722401469064e-48,1.562627391489485e-38
-5.33875,-2.186905417002133e-43,-2.1869021130443877e-43,1.4879702871178668e-33,-3.7558700838642143e-48,-3.755866296584825e-48,1.7056390046558662e-38
-5.2328125,-2.1866074926082604e-43,-2.1866038692598774e-43,1.6318110427268478e-33,-3.75553004961581e-48,-3.755525891787509e-48,1.8725193984715173e-38
-5.126875,-2.1862761817430583e-43,-2.186272183141066e-43,1.8008102442534552e-33,-3.7551516979625986e-48,-3.755147104053928e-48,2.0689125376021668e-38
-5.0209375,-2.185907728201043e-43,-2.1859032877980754e-43,1.9997797151163554e-33,-3.754730666260501e-48,-3.754725557977996e-48,2.3005659185852393e-38
-4.915,-2.1854979488331345e-43,-2.18549298995791e-43,2.233278861339644e-33,-3.754262083224558e-48,-3.754256369990674e-48,2.5730117990614217e-38
-4.8090625,-2.185042183680474e-43,-2.185036620972177e-43,2.5052211012070177e-33,-3.7537405063274595e-48,-3.753734086731856e-48,2.891128836856251e-38
-4.703125,-2.1845352398560197e-43,-2.184528981858258e-43,2.8183516387668167e-33,-3.7531598505526475e-48,-3.753152615112945e-48,3.25855235488986e-38
-4.5971875,-2.183971328251291e-43,-2.1839642815190183e-43,3.1735660837317295e-33,-3.7525133070386526e-48,-3.752505142690276e-48,3.676895630588544e-38
-4.49125,-2.1833439919661773e-43,-2.183336067120434e-43,3.569033233617873e-33,-3.75179324983017e-48,-3.7517840466750074e-48,4.1447326161486167e-38
-4.3853125,-2.1826460251335564e-43,-2.1826371454014037e-43,3.999075841370366e-33,-3.750991128542775e-48,-3.750980789526576e-48,4.656278950209088e-38
-4.279375,-2.1818693805228422e-43,-2.1818594934271624e-43,4.4527520419605875e-33,-3.7500973442238265e-48,-3.750085798591643e-48,5.199690479908376e-38
-4.1734375,-2.1810050639378987e-43,-2.180994156963757e-43,4.912064468016866e-33,-3.7491011050158824e-48,-3.7490883266341906e-48,5.754871502546046e-38
-4.0675,-2.1800430129484235e-43,-2.1800311342197792e-43,5.3497037896231706e-33,-3.747990257351147e-48,-3.747976289301113e-48,6.290650492865924e-38
-3.9615625,-2.1789719568743928e-43,-2.17895924214772e-43,5.7262038305524405e-33,-3.7467510872604487e-48,-3.746736074535442e-48,6.76113027450733e-38
-3.855625,-2.1777792541322774e-43,-2.1777659617739332e-43,5.986346008598681e-33,-3.745368084879032e-48,-3.745352317605512e-48,7.10094871501692e-38
-3.7496875,-2.17645070198484e-43,-2.1764372580851497e-43,6.0545941634675276e-33,-3.7438236632551484e-48,-3.743807633665426e-48,7.219085430015966e-38
-3.64375,-2.1749703123258266e-43,-2.174957368768028e-43,5.82926020788603e-33,-3.7420978199556633e-48,-3.7420822974720857e-48,6.990705125626045e-38
-3.5378125,-2.173320045258914e-43,-2.173308554479914e-43,5.174986802127312e-33,-3.740167726499659e-48,-3.740153856883176e-48,6.246319962440846e-38
-3.431875,-2.171479489737715e-43,-2.1714708012045955e-43,3.912967451946387e-33,-3.7380072260462e-48,-3.737996662817043e-48,4.757255489564539e-38
-3.3259375,-2.1694254772060055e-43,-2.1694214624445156e-43,1.8080878349597377e-33,-3.735586213624365e-48,-3.7355812931748506e-48,2.2159734599508546e-38
-3.22,-2.16713160972588e-43,-2.1671283417315234e-43,1.4717738166957125e-33,-3.732869864996243e-48,-3.732865799048467e-48,1.831140088825005e-38
-3.1140625,-2.164567678117839e-43,-2.1645554733227457e-43,5.4965510634181186e-33,-3.729817669278919e-48,-3.729802323544554e-48,6.911104356780885e-38
-3.008125,-2.1616989376396976e-43,-2.161676963886574e-43,9.89609863792987e-33,-3.726382205768445e-48,-3.7263542546702686e-48,1.2588055533074012e-37
-2.9021875,-2.158485198002509e-43,-2.158452878454029e-43,1.455543064907927e-32,-3.7225075857329206e-48,-3.72246594914602e-48,1.875145172498708e-37
-2.79625,-2.1548796701290647e-43,-2.154836838906898e-43,1.9289467618882238e-32,-3.7181274535663993e-48,-3.718071507366872e-48,2.519592833440158e-37
-2.6903125,-2.1508274927633448e-43,-2.150774619527934e-43,2.381198832938501e-32,-3.713162406344615e-48,-3.71309230504531e-48,3.1570818542951193e-37
